,ID,site,coordinates,depth,country,biome,standard biome,aggregated biome,altitude,mean annual temperature,mean annual percipitation (mm yr^-1),"environment (soil,litter, trees)",aggregated environment,taxon,family,super-family,order,sub-class,class,sub-phylum,phylum,numerical value,standard deviation,units,reference,link (doi),source in text,season,date,remarks,studied group,synthetic coordinates
1733,1746,Shrubland/Grassland 10,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,81.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1734,1747,Shrubland/Grassland 11,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,178.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
1737,1750,rain green forest (old world),0,0,0,semi-arid tropical woodland,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,8000.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1738,1751,rain green forest (new world),0,0,0,semi-arid tropical woodland,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,8000.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1739,1752,Shrubland/Grassland 12,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,28.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Broadleaf and Mixed Forests,Formicidae,
1744,1757,tropical rain forest (old world),0,0,0,tropical rain forest,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,11000.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1745,1758,tropical rain forest (new world),0,0,0,tropical rain forest,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,11000.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1746,1759,tropical montane / seasonal (old world),0,0,0,tropical montane / seasonal forest,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,11260.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1747,1760,tropical montane / seasonal (new world),0,0,0,tropical montane / seasonal forest,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,11260.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1748,1761,"savannah / grassland (old world, arid)",0,0,0,Tropical Grasslands (Savanna),"Tropical and Subtropical Grasslands, Savannas and Shrublands","Tropical and Subtropical Grasslands, Savannas and Shrublands",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,960.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1749,1762,"savannah / grassland (new world, arid)",0,0,0,Tropical Grasslands (Savanna),"Tropical and Subtropical Grasslands, Savannas and Shrublands","Tropical and Subtropical Grasslands, Savannas and Shrublands",0,0,0,soil,soil/litter,Isoptera,0,Isoptera,Blattodea,Pterygota,Insecta,Hexapoda,Arthropoda,960.0,0.0,mg/m^2 (wet weight),sanderson (1996),https://doi.org/10.1029/96GB01893,table 3,0,0,0,Isoptera,
1751,1764,Shrubland/Grassland 13,0,0,0,Shrubland/Grassland,Shrubland/Grassland,Shrubland/Grassland,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,39.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Broadleaf and Mixed Forests,Formicidae,
2322,2438,"""tundra""",0,0,0,tundra,Tundra,Tundra,0,0,0,soil+litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,0.0,0.0,mg/m^2 (dry weight),Petersen and Luxton (1982),http://www.jstor.org/stable/3544689,table 2,0,0,"מייצג ערכים טנטטיביים שמבוססים על פחות מחמש הערכות ביומסה, הערכה שאינה מגובה בנתונים ממשיים",,
2323,2439,"""temperate"" grassland",0,0,0,temperate grassland,"Temperate Grasslands, Savannas and Shrublands","Temperate Grasslands, Savannas and Shrublands",0,0,0,soil+litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,1000.0,0.0,mg/m^2 (dry weight),Petersen and Luxton (1982),http://www.jstor.org/stable/3544689,table 2,0,0,מייצג ערך חציוני של חמש הערכות או יותר של ממוצע הביומסה,,
2324,2440,"""tropical"" grassland",0,0,0,tropical grassland,"Tropical and Subtropical Grasslands, Savannas and Shrublands","Tropical and Subtropical Grasslands, Savannas and Shrublands",0,0,0,soil+litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,10.0,0.0,mg/m^2 (dry weight),Petersen and Luxton (1982),http://www.jstor.org/stable/3544689,table 2,0,0,מייצג ערכים טנטטיביים שמבוססים על פחות מחמש הערכות ביומסה,,
2325,2441,temperate coniferous forest,0,0,0,temperate coniferous forest,Temperate Coniferous Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,50.0,0.0,mg/m^2 (dry weight),Petersen and Luxton (1982),http://www.jstor.org/stable/3544689,table 2,0,0,מייצג ערך חציוני של חמש הערכות או יותר של ממוצע הביומסה,,
2326,2442,temperate coniferous forest (mor),0,0,0,temperate coniferous forest,Temperate Coniferous Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,420.0,0.0,mg/m^2 (dry weight),Petersen and Luxton (1982),http://www.jstor.org/stable/3544689,table 2,0,0,מייצג ערך חציוני של חמש הערכות או יותר של ממוצע הביומסה,,
2327,2443,temperate coniferous forest (mull),0,0,0,temperate coniferous forest,Temperate Coniferous Forests,Temperate Forests,0,0,0,soil+litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,420.0,0.0,mg/m^2 (dry weight),Petersen and Luxton (1982),http://www.jstor.org/stable/3544689,table 2,0,0,מייצג ערך חציוני של חמש הערכות או יותר של ממוצע הביומסה,,
2328,2444,Tropical Forests,0,0,0,Tropical Forests,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil+litter,soil/litter,Diplopoda,0,0,0,0,Diplopoda,Myriapoda,Arthropoda,20.0,0.0,mg/m^2 (dry weight),Petersen and Luxton (1982),http://www.jstor.org/stable/3544689,table 2,0,0,מייצג ערך חציוני של חמש הערכות או יותר של ממוצע הביומסה,,
2477,2657,Tropical Forests 1,0,0,0,Seasonal tropical forest,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,24.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Broadleaf and Mixed Forests,Formicidae,
2478,2658,Tropical Forests 2,0,0,0,Seasonal tropical forest,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,31.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Temperate Conifer Forests,Formicidae,
2479,2659,Tropical Forests 3,0,0,0,Seasonal tropical forest,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,38.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Tropical and Subtropical Moist Broadleaf Forests,Formicidae,
2480,2660,Tropical Forests 4,0,0,0,Seasonal tropical forest,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,27.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Tropical and Subtropical Moist Broadleaf Forests,Formicidae,
2504,2686,Tropical Forests 5,0,0,0,Seasonal tropical forest,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Forests,0,0,0,soil+litter,soil/litter,Formicidae,Formicidae,0,Hymenoptera,Pterygota,Insecta,Hexapoda,Arthropoda,36.0,0.0,mg/m^2 (dry weight),Kaspari and Weiser (2012),https://doi.org/10.1111/j.1600-0587.2011.06971.x,figure 3,0,0,Tropical and Subtropical Dry Broadleaf Forests,Formicidae,
